PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,MONTH
3154,594,0,UA,United Air Lines Inc.,13487,31650,MSP,"Minneapolis, MN",MN,12266,31453,IAH,"Houston, TX",TX,2024,11
3155,0,0,OO,SkyWest Airlines Inc.,14489,34489,RDM,"Bend/Redmond, OR",OR,14771,32457,SFO,"San Francisco, CA",CA,2024,11
3155,0,0,UA,United Air Lines Inc.,15380,35380,TVC,"Traverse City, MI",MI,13930,30977,ORD,"Chicago, IL",IL,2024,4
3155,0,0,YX,Republic Airline,14685,34685,SAV,"Savannah, GA",GA,12478,31703,JFK,"New York, NY",NY,2024,11
3155,5,0,UA,United Air Lines Inc.,15370,34653,TUL,"Tulsa, OK",OK,11292,30325,DEN,"Denver, CO",CO,2024,10
3155,185,0,MQ,Envoy Air,13871,33316,OMA,"Omaha, NE",NE,13930,30977,ORD,"Chicago, IL",IL,2024,2
3156,0,0,AA,American Airlines Inc.,11042,30647,CLE,"Cleveland, OH",OH,13930,30977,ORD,"Chicago, IL",IL,2024,12
3156,0,0,MQ,Envoy Air,11637,31637,FAR,"Fargo, ND",ND,13930,30977,ORD,"Chicago, IL",IL,2024,9
3156,0,0,OO,SkyWest Airlines Inc.,12003,31895,GTF,"Great Falls, MT",MT,11292,30325,DEN,"Denver, CO",CO,2024,12
3156,0,0,OO,SkyWest Airlines Inc.,14487,33792,RDD,"Redding, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,2
3156,0,0,OO,SkyWest Airlines Inc.,14489,34489,RDM,"Bend/Redmond, OR",OR,12892,32575,LAX,"Los Angeles, CA",CA,2024,2
3156,0,0,UA,United Air Lines Inc.,13891,32575,ONT,"Ontario, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,10
3156,0,0,YV,Mesa Airlines Inc.,15919,31834,XNA,"Fayetteville, AR",AR,12266,31453,IAH,"Houston, TX",TX,2024,8
3156,0,0,YX,Republic Airline,12451,31136,JAX,"Jacksonville, FL",FL,12953,31703,LGA,"New York, NY",NY,2024,6
3156,58,0,UA,United Air Lines Inc.,14027,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,13930,30977,ORD,"Chicago, IL",IL,2024,5
3157,0,0,B6,JetBlue Airways,12478,31703,JFK,"New York, NY",NY,13930,30977,ORD,"Chicago, IL",IL,2024,12
3157,0,0,OO,SkyWest Airlines Inc.,14689,34689,SBA,"Santa Barbara, CA",CA,12892,32575,LAX,"Los Angeles, CA",CA,2024,7
3157,0,0,YX,Republic Airline,13487,31650,MSP,"Minneapolis, MN",MN,12953,31703,LGA,"New York, NY",NY,2024,11
3158,0,0,YX,Republic Airline,13342,33342,MKE,"Milwaukee, WI",WI,10721,30721,BOS,"Boston, MA",MA,2024,10
3158,8,0,UA,United Air Lines Inc.,14685,34685,SAV,"Savannah, GA",GA,13930,30977,ORD,"Chicago, IL",IL,2024,9
3159,0,0,9E,Endeavor Air Inc.,13342,33342,MKE,"Milwaukee, WI",WI,12953,31703,LGA,"New York, NY",NY,2024,6
3159,0,0,C5,CommuteAir LLC dba CommuteAir,10279,30279,AMA,"Amarillo, TX",TX,12266,31453,IAH,"Houston, TX",TX,2024,11
3159,0,0,DL,Delta Air Lines Inc.,11641,31641,FAY,"Fayetteville, NC",NC,10397,30397,ATL,"Atlanta, GA",GA,2024,6
3159,0,0,NK,Spirit Air Lines,14843,34819,SJU,"San Juan, PR",PR,13930,30977,ORD,"Chicago, IL",IL,2024,9
3159,0,0,OO,SkyWest Airlines Inc.,14487,33792,RDD,"Redding, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,1
3160,0,0,UA,United Air Lines Inc.,15370,34653,TUL,"Tulsa, OK",OK,11292,30325,DEN,"Denver, CO",CO,2024,8
3160,158,0,DL,Delta Air Lines Inc.,12953,31703,LGA,"New York, NY",NY,10721,30721,BOS,"Boston, MA",MA,2024,6
3161,0,0,DL,Delta Air Lines Inc.,11641,31641,FAY,"Fayetteville, NC",NC,10397,30397,ATL,"Atlanta, GA",GA,2024,3
3161,0,0,MQ,Envoy Air,15016,31123,STL,"St. Louis, MO",MO,10721,30721,BOS,"Boston, MA",MA,2024,7
3161,50,0,DL,Delta Air Lines Inc.,10408,30408,ATW,"Appleton, WI",WI,10397,30397,ATL,"Atlanta, GA",GA,2024,8
3161,570,0,AS,Alaska Airlines Inc.,13830,33830,OGG,"Kahului, HI",HI,14771,32457,SFO,"San Francisco, CA",CA,2024,5
3162,0,0,C5,CommuteAir LLC dba CommuteAir,10792,30792,BUF,"Buffalo, NY",NY,12264,30852,IAD,"Washington, DC",VA,2024,7
3162,0,0,UA,United Air Lines Inc.,11624,31624,EYW,"Key West, FL",FL,13930,30977,ORD,"Chicago, IL",IL,2024,1
3163,0,0,B6,JetBlue Airways,10431,30431,AVL,"Asheville, NC",NC,10721,30721,BOS,"Boston, MA",MA,2024,7
3163,0,0,OO,SkyWest Airlines Inc.,11540,30615,ELP,"El Paso, TX",TX,13930,30977,ORD,"Chicago, IL",IL,2024,11
3163,0,0,OO,SkyWest Airlines Inc.,14747,30559,SEA,"Seattle, WA",WA,12892,32575,LAX,"Los Angeles, CA",CA,2024,10
